MN706580.1	k141_13185	99.89	894	1	0	1	894	4356	5249	0	784.9
MN706580.1	k141_9274	85.82	522	74	4	233	756	1	524	5.6e-91	334.7
MN706580.1	k141_58706	71.17	836	241	73	894	1	1344	2194	5.2e-68	258.4
MN706580.1	k141_25339	69.76	797	241	114	1	893	799	1613	5.2e-46	185.3
MN706580.1	k141_32639	100.00	184	0	0	711	894	1	184	1.5e-40	167.2
MN706580.1	k141_25260	79.50	278	57	8	893	608	419	696	4.3e-34	145.7
MN706580.1	k141_25260	76.24	101	24	1	345	244	879	979	1.4e-06	54.3
MN706580.1	k141_77148	74.31	327	84	13	329	1	1	338	2.9e-31	136.3
MN706580.1	k141_14954	71.22	344	99	13	1	345	74	429	1.6e-30	133.9
MN706580.1	k141_53838	73.00	337	91	10	1	339	1991	2335	6.2e-30	131.9
MN706580.1	k141_19837	73.29	337	90	15	339	1	27	376	2.2e-29	130.0
MN706580.1	k141_68453	71.30	338	97	14	339	1	433	783	4.7e-29	128.9
MN706580.1	k141_64943	70.83	336	98	15	339	1	473	820	1.8e-28	127.0
MN706580.1	k141_75235	68.60	430	135	29	441	1	51	498	2.5e-28	126.5
MN706580.1	k141_17695	72.49	349	96	24	356	1	457	822	8.6e-28	124.8
MN706580.1	k141_4668	71.52	323	92	14	1	325	25	359	1.7e-27	123.7
MN706580.1	k141_73293	69.82	338	102	15	339	1	46	397	4.1e-27	122.5
MN706580.1	k141_59018	70.12	338	101	17	1	345	805	1152	2.9e-25	116.4
MN706580.1	k141_8595	69.88	332	100	18	339	1	128	470	5.8e-24	112.0
MN706580.1	k141_73517	73.02	252	68	6	339	85	323	577	4e-23	109.3
MN706580.1	k141_73517	70.31	128	38	5	740	608	2	129	1.4e-05	51.0
MN706580.1	k141_42883	99.15	117	1	3	528	647	345	461	3.1e-21	103.0
MN706580.1	k141_19595	75.18	274	68	42	894	619	12316	12629	2.1e-19	96.9
MN706580.1	k141_19595	78.12	160	35	1	337	177	13505	13664	7.8e-17	88.4
MN706580.1	k141_76594	66.01	306	104	22	5	324	136	449	1.3e-10	67.7
MN706580.1	k141_51830	61.20	317	123	15	324	1	323	647	3.7e-09	62.8
MN706580.1	k141_49742	66.53	236	79	11	323	81	31	270	3e-08	59.9
MN706580.1	k141_42422	69.86	219	66	19	93	324	2463	2687	3.1e-08	59.8
MN706580.1	k141_17093	67.62	210	68	16	104	322	171	387	1.8e-07	57.3
MN706580.1	k141_57262	62.38	311	117	20	1	324	312	629	1.9e-07	57.2
MN706580.1	k141_11700	73.68	133	35	5	188	324	45	178	4.7e-07	55.9
MN706580.1	k141_61127	73.68	133	35	5	324	188	2069	2202	4.9e-07	55.8
MN706580.1	k141_32685	64.25	221	79	14	222	1	1	234	7.5e-07	55.2
MN706580.1	k141_2081	66.83	205	68	10	326	115	31	238	8.8e-07	55.0
MN706580.1	k141_52824	76.24	101	24	1	345	244	326	426	1.4e-06	54.3
MN706580.1	k141_24238	61.15	278	108	14	284	1	3	288	3.3e-06	53.1
MN706580.1	k141_40872	64.16	226	81	10	93	324	54	283	1.6e-05	50.8
MN706580.1	k141_47584	62.50	224	84	7	97	324	181	407	1.8e-05	50.6
MN706580.1	k141_32854	75.26	97	24	2	765	863	252	348	2.5e-05	50.1
MN706580.1	k141_49599	78.22	101	22	4	324	221	111	212	5.3e-05	49.1
MN706580.1	k141_38984	61.16	224	87	8	324	97	30	257	0.00075	45.2
