MN706580.1	k141_16062	69.30	798	245	105	1	893	846	1653	1.8e-52	205.9
MN706580.1	k141_38521	69.00	800	248	108	893	1	3190	4004	9.3e-50	196.9
MN706580.1	k141_23128	78.12	160	35	1	177	337	661	820	1.1e-18	93.7
MN706580.1	k141_33094	85.87	92	13	0	894	803	452	543	1.7e-11	69.8
MN706580.1	k141_42572	71.01	138	40	8	798	653	2	139	5.9e-07	54.7
MN706580.1	k141_33863	71.14	201	58	42	619	821	398	638	5.5e-06	51.5
MN706580.1	k141_10977	73.04	115	31	9	203	324	1568	1684	0.00079	44.4
MN706594.1	k141_16062	70.84	758	221	99	13	865	905	1666	8.3e-52	203.7
MN706594.1	k141_38521	68.50	765	241	89	865	13	3177	3942	2.7e-48	192.0
MN706594.1	k141_23128	76.88	160	37	1	138	298	661	820	2.3e-17	89.3
MN706594.1	k141_33094	86.54	104	14	0	865	762	440	543	4.8e-14	78.2
MN706594.1	k141_42572	71.74	138	39	8	757	612	2	139	2.8e-07	55.8
MN706594.1	k141_33863	71.64	201	57	42	578	780	398	638	2.4e-06	52.6
