MN706580.1	k141_6796	85.92	888	125	21	1	894	8493	9395	3.3e-167	591.8
MN706580.1	k141_273010	68.58	818	257	124	1	894	3292	4157	1.4e-39	167.8
MN706580.1	k141_637384	71.08	332	96	17	1	339	184	525	7.7e-28	128.8
MN706580.1	k141_758631	90.00	130	13	4	254	386	772	902	4.6e-19	99.7
MN706580.1	k141_279184	84.38	128	20	0	894	767	2016	2143	5.2e-17	92.8
MN706580.1	k141_279184	76.36	165	39	2	337	172	2892	3057	5.8e-16	89.4
MN706580.1	k141_568773	84.30	121	19	0	289	169	361	481	1.1e-15	88.4
MN706580.1	k141_568293	89.11	101	11	3	274	377	1	101	1.1e-12	78.4
MN706580.1	k141_464377	71.69	219	62	19	324	93	3855	4079	3.7e-10	70.1
MN706580.1	k141_773186	82.57	109	19	5	31	141	1	112	3e-08	63.8
MN706580.1	k141_511066	66.67	213	71	13	324	101	2286	2500	6.9e-08	62.5
MN706580.1	k141_220938	87.10	62	8	0	893	832	496	557	0.00026	50.7
MN706580.1	k141_699759	80.52	77	15	1	105	181	402	479	0.00044	49.9
