MT044274.1	k141_91165	66.96	339	112	1	103	442	371	709	3.8e-39	161.9
MT044274.1	k141_64149	67.01	288	95	1	442	154	1156	1443	9.6e-32	137.3
MT044274.1	k141_3244	68.75	208	65	3	232	442	133	340	2.8e-22	105.9
MT044274.1	k141_11764	71.33	143	41	0	79	221	220	362	2.7e-16	86.0
MT044274.1	k141_105559	76.92	78	18	1	364	442	210	287	1e-06	54.2
MT044290.1	k141_91165	67.87	277	89	2	137	414	364	641	7.7e-30	130.9
MT044290.1	k141_64149	67.73	220	71	1	414	194	1224	1443	2.8e-22	105.8
MT044290.1	k141_11764	67.76	183	59	0	79	261	180	362	2.9e-18	92.5
MT044290.1	k141_24022	60.92	174	68	0	1	174	265	438	1.9e-09	63.2
MT044290.1	k141_3244	66.43	140	47	3	272	414	133	272	4.2e-09	62.0
MT044269.1	k141_91165	67.75	338	109	1	102	440	370	707	6.4e-42	171.1
MT044269.1	k141_64149	68.18	286	91	1	440	154	1158	1443	1.2e-34	146.9
MT044269.1	k141_3244	70.05	207	62	3	232	441	133	339	1.4e-24	113.6
MT044269.1	k141_11764	69.93	143	43	0	79	221	220	362	1.5e-15	83.5
MT044269.1	k141_105559	78.38	74	16	1	364	438	210	283	6.9e-07	54.7
