MN706590.1	k141_57962	98.56	902	14	1	903	1	1399	2301	1e-197	691.5
MN706590.1	k141_58077	74.83	878	222	37	903	1	1442	2332	1.2e-86	322.5
MN706590.1	k141_273689	68.91	804	250	109	902	1	1781	2595	2.9e-40	168.4
MN706590.1	k141_160900	74.41	297	76	21	305	1	4	313	5.8e-22	107.6
MN706590.1	k141_212433	73.93	234	61	4	343	108	2444	2679	7.5e-19	97.3
MN706590.1	k141_121553	77.64	161	36	1	341	180	5693	5853	2.5e-14	82.3
MN706590.1	k141_121553	73.02	278	75	41	903	626	4920	5238	2.7e-13	78.9
MN706590.1	k141_123471	83.59	128	21	0	776	903	6546	6673	9.8e-14	80.3
MN706590.1	k141_123471	66.18	340	115	29	1	341	5431	5798	1e-12	76.9
MN706590.1	k141_253421	62.26	310	117	15	324	3	5174	5486	1.9e-07	59.4
