MN706590.1	k141_61445	84.59	623	97	18	192	826	1	630	2.6e-98	358.7
MN706590.1	k141_53482	69.08	883	274	87	903	1	5190	6140	1.5e-54	213.3
MN706590.1	k141_61661	68.91	804	250	109	902	1	3683	4497	1.1e-45	183.9
MN706590.1	k141_8248	70.15	747	223	92	1	819	35	801	1.6e-43	176.7
MN706590.1	k141_1445	72.94	340	92	8	343	1	403	747	3.6e-32	139.0
MN706590.1	k141_7886	73.24	340	91	15	1	343	123	474	6.7e-31	134.8
MN706590.1	k141_7886	75.08	333	83	26	1	343	4840	5188	2.7e-29	129.5
MN706590.1	k141_15543	74.63	335	85	22	1	343	155	503	1.5e-30	133.7
MN706590.1	k141_51629	73.82	340	89	23	1	347	155	510	1.8e-30	133.3
MN706590.1	k141_5430	69.79	341	103	3	343	1	437	778	3.5e-30	132.4
MN706590.1	k141_12121	71.55	341	97	12	1	343	123	473	6.7e-30	131.4
MN706590.1	k141_38248	73.50	283	75	8	343	55	16	300	3.7e-25	115.7
MN706590.1	k141_27346	65.79	643	221	83	1	709	146	806	2.1e-24	113.2
MN706590.1	k141_20847	72.32	271	75	10	272	1	1	280	2.6e-22	106.2
MN706590.1	k141_51032	77.50	200	45	6	701	903	7	209	4.7e-20	98.8
MN706590.1	k141_5322	67.75	338	109	20	341	1	143	497	6.1e-20	98.4
MN706590.1	k141_20145	73.74	278	73	36	626	903	24721	25034	3e-19	96.1
MN706590.1	k141_20145	76.19	168	40	1	173	341	23681	23848	3.9e-17	89.1
MN706590.1	k141_26184	69.26	270	83	17	276	1	1	281	7.3e-17	88.2
MN706590.1	k141_33447	77.27	154	35	1	343	189	485	638	4.1e-15	82.3
MN706590.1	k141_61501	80.60	134	26	1	343	209	458	591	4e-14	79.0
MN706590.1	k141_33879	65.62	317	109	19	1	328	140	464	5e-11	68.8
MN706590.1	k141_31002	68.18	220	70	18	96	328	726	950	6.7e-09	61.7
MN706590.1	k141_50301	66.20	213	72	8	107	324	95	310	1.8e-08	60.3
MN706590.1	k141_42848	68.73	259	81	31	388	100	987	1246	6.5e-07	55.1
MN706590.1	k141_13137	63.55	310	113	26	328	1	878	1195	4e-06	52.5
MN706590.1	k141_42978	72.31	130	36	4	330	198	316	446	6.5e-06	51.8
MN706590.1	k141_49809	77.89	95	21	3	228	324	1	96	9.8e-05	47.9
MN706590.1	k141_43581	65.43	162	56	5	349	185	2767	2930	0.00017	47.1
